Age (Ma),Site,Latitude,Longitude,Reference,Paleolat. at 60 Ma,Paleolat. at 50 Ma,Paleolat. at 40 Ma,Paleolat. at 30 Ma,Paleolat. at 20 Ma,Paleolat. at 10 Ma,Age-adjusted paleolatitude,Latitude category,GDGT-0,GDGT-1,GDGT-2,GDGT-3,Cren,Cren',GDGT-0.1,GDGT-1.1,GDGT-2.1,GDGT-3.1,Cren.1,Cren'.1,TEX,TEXL index (GDGT index-1),TEXH index (GDGT index-2),SSTL (°C),SSTH (°C),Bayspar 5th (°C),SST Bayspar (°C),Bayspar 95th (°C),BIT,%GDGT-0,%GDGTrs,MI,[2]/[3] ,Ring Average,GDGT-0/Cren,GDGT-2/Cren,#ringstetra,Comment,Unnamed: 43,GDGT-2/Cren.1
0.0,588,-26.1117,161.2267,"Auderset et al., (this study)",-41.7,-37.3,-38.2,-35.6,-31.2,-28.6,-26.1117,mid latitude,308133.628294798,78650.8675547688,91446.210154552,11685.384166474,589670.061049711,62051.7221445087,0.2699048756911145,0.06889300836083578,0.0801008903856943,0.010235631139349836,0.5165123502006321,0.05435324422237344,0.6774411763847692,-0.29838626923881056,-0.16912840950242408,26.758926826380286,27.031616790034192,20.4412732262726,26.9773951751047,33.9345778122448,0.07570423245972373,34.320824468851086,16.762338669228974,0.21809422441576773,7.825691380940315,2.2343312162332616,0.5225526080572394,0.1550803003153365,0.539158421271465,,,
0.0,667,5.1236,-19.8513,"Auderset et al., (this study)",-4.7,-5.1,-3.2,-1.6,-0.5,1.8,5.1236,low latitude,6086060.72972486,1197817.3376757,1137779.71011065,93187.0713600004,7821894.55686653,434992.462381871,0.3628761047207946,0.07141882228349714,0.06783913069069437,0.005556198494750215,0.46637369464120193,0.025936049169061805,0.5817350608277903,-0.3293307297664249,-0.23527476074146675,24.670175740766318,22.507206365283675,15.3298707093452,21.4173760038358,27.3021887793691,0.10754693998298548,43.75956497064964,6.670586016817012,0.2272935492483454,12.209630515323077,1.9180643688947472,0.7780801294978017,0.14546088570215235,0.20585618977841483,,,
0.000172866520787746,1146,19.45668,116.27271,"Auderset et al., (this study)",25.6,26.6,27.2,25.4,23.9,22.2,19.45668,low latitude,1696329.53165723,432492.733117701,457248.825941184,66814.4932852603,3688355.70249118,262278.841130059,0.25688261697900494,0.06549427044351361,0.06924319410014455,0.010118011605018717,0.5585438722391014,0.03971803463321676,0.64515888457631,-0.32055782489999174,-0.19033331761692268,25.262346819250556,25.58120107500249,18.4304627078414,24.9754200149834,31.4345119373819,0.03915682545072271,31.50285407398572,13.391081380746414,0.1949294680199727,6.843557489675014,2.1303535394977104,0.45991484240836616,0.12397091355162686,0.1535329622682083,,,0.12397091355162686
0.000358,MD96-2048,-26.1667,34.0167,"Caley et al., 2011",-43.3,-40.5,-34.7,-32.0,-30.7,-27.3,-26.1667,mid latitude,,,,,,9999.0,,,,,,,0.6674445707277366,,-0.17558479532163743,,26.59,20.9914335347463,26.7682524823198,33.8268908343672,-999.0,,-999.0,-999.0,,,,,999.0,,,
0.00079,MD11-3353,-50.567,68.385,"Ai et al., 2021",-54.3,-54.3,-48.4,-48.3,-49.4,-49.6,-50.567,high latitude,10443776.620367715,1090694.0750407055,378709.21220740105,64357.8396845127,9421469.89154475,141299.83531102925,0.48484807530709917,0.05063502813733329,0.017581420908767124,0.002987786491057693,0.43738790186020104,0.0065597872955416095,0.3488630565542027,-0.6074518568262076,-0.4573450184686083,5.896999664230982,7.317600736747192,-2.21441177054182,5.51255481935131,13.0841800614871,0.005315773559017498,52.573103556026666,1.3348966906632393,0.13821987674724365,5.8844301496735145,1.5559943300583274,1.1085081988894778,0.040196404230646826,999.0,,,
0.00165,MD12-3394,-48.4,64.6,"Ai et al., 2021",-52.2,-50.0,-46.6,-46.5,-47.5,-47.6,-48.4,transition,2299016.0,274795.0,117578.0,16565.0,1881259.0,44068.0,0.4961961081143147,0.05930894327367583,0.025376833393010268,0.003575220238099092,0.40603170841569936,0.009511186565200773,0.39339655545401164,-0.5413314000722773,-0.4051694470447059,10.360130495121282,10.886409822142113,1.20089391314884,8.595576102465,16.5085587866254,0.05230782405879819,54.996764566924426,1.880769106015832,0.1751891923153541,7.0979776637488685,1.6245215295161657,1.2220624592360756,0.06249963455324333,999.0,,,
0.00196,MD11-3353,-50.567,68.385,"Ai et al., 2021",-54.3,-54.3,-48.4,-48.3,-49.4,-49.6,-50.567,high latitude,6716038.749391875,645636.8770207926,230702.11023105698,42532.4113834197,5974076.9701112695,91907.28362886765,0.4901898045813397,0.04712370288304037,0.016838470793651153,0.0031043529083716924,0.43603554592324073,0.006708122910356312,0.3612480275359877,-0.6002031665867472,-0.44219451553664124,6.386286255394559,8.353895137293737,-1.0553545957601,6.49112247698631,14.1172807454629,0.006919266190709664,52.923384607676596,1.3500001789539393,0.13155195244769013,5.42414837831158,1.585181300578648,1.1241968898279504,0.03861719749934191,999.0,,,
0.002502487831,U1460,-27.3748,112.9236,"Petrick et al., 2019",-51.8,-47.7,-44.3,-40.1,-35.2,-30.8,-27.3748,mid latitude,,,,,,9999.0,,,,,,,0.6580038842697942,,-0.1817715426900585,,26.16682648,20.4266273197696,26.2688346400475,33.2719291883193,-999.0,,-999.0,-999.0,,,,,999.0,,,
0.00277,MD12-3394,-48.4,64.6,"Ai et al., 2021",-52.2,-50.0,-46.6,-46.5,-47.5,-47.6,-48.4,transition,767400.0,107312.0,45162.0,4988.0,644136.0,19444.0,0.48311490126803497,0.06755802226332469,0.028431633008948392,0.003140183903472711,0.40551433417147115,0.012240925384748073,0.39339536250890295,-0.5424025969045684,-0.4051707640116602,10.287824708941635,10.886319741602442,1.23844511671286,8.63533634333383,16.4667601831324,0.0646816160167044,54.366307341789366,2.4711378621429403,0.19178312437122588,9.054129911788293,1.6414140843159644,1.19136331457953,0.07011252282126756,999.0,,,
0.0029820000000000003,MD96-2048,-26.1667,34.0167,"Caley et al., 2011",-43.3,-40.5,-34.7,-32.0,-30.7,-27.3,-26.1667,mid latitude,,,,,,9999.0,,,,,,,0.6701462483525008,,-0.1738304093567251,,26.71,21.1289685459033,26.9095189213454,33.9972329274082,-999.0,,-999.0,-999.0,,,,,999.0,,,
0.00313,MD11-3353,-50.567,68.385,"Ai et al., 2021",-54.3,-54.3,-48.4,-48.3,-49.4,-49.6,-50.567,high latitude,3028821.088019665,293989.3676886015,107510.06075081116,19793.656663821603,2565466.3488148646,41540.372253957394,0.500043030497221,0.04853615650473694,0.017749366840920155,0.0032678325246573974,0.4235455084403112,0.006858105192153451,0.36480528143470997,-0.5931352236234273,-0.4379388828399274,6.863372405418659,8.644980413748968,-0.889557870503945,6.71983558779397,14.3628187951971,0.007626469504607774,54.14132044908819,1.352947292735215,0.13911868443295672,5.431541153652302,1.5870761642683662,1.1806122849433789,0.04190663455807019,999.0,,,
